increment,specimen,d13C,d18O,measure
1,CHP01,-9.628,-10.131,30.1
2,CHP01,-9.737,-10.76,27.3
3,CHP01,-9.829,-10.322,24.6
4,CHP01,-9.783,-9.52,21.9
5,CHP01,-9.628,-7.798,19.4
6,CHP01,-9.613,-5.051,16.7
6,CHP01,-9.64,-4.791,16.7
7,CHP01,-9.954,-3.258,14.4
8,CHP01,-10.024,-1.134,11.9
9,CHP01,-10.114,-0.654,9.7
9,CHP01,-10.005,-0.522,9.7
10,CHP01,-10.044,-0.562,7.2
11,CHP01,-9.629,-1.171,4.6
1,CHP02,-7.146,-6.604,34.2
2,CHP02,-6.995,-7.926,31.5
3,CHP02,-7.096,-9.456,28.7
4,CHP02,-7.103,-10.359,25.9
5,CHP02,-7.511,-10.744,23
6,CHP02,-7.85,-10.362,20.5
6,CHP02,-7.87,-10.093,20.5
7,CHP02,-8.26,-8.105,17.8
8,CHP02,-8.772,-6.419,15.1
9,CHP02,-9.394,-3.021,12.5
9,CHP02,-9.267,-3.367,12.5
10,CHP02,-9.767,-1.486,10.1
11,CHP02,-9.74,-1.197,8.2
1,CHP03,-8.538,-9.557,27.1
2,CHP03,-8.502,-9.402,24.1
3,CHP03,-8.983,-8.404,21.2
4,CHP03,-9.446,-6.026,18.4
5,CHP03,-9.997,-2.605,15.4
5,CHP03,-9.928,-2.389,15.4
6,CHP03,-10.166,-1.752,13
7,CHP03,-9.548,-3.178,10
8,CHP03,-8.712,-5.659,7.4
1,CHP04,-8.68,-3.324,31.3
2,CHP04,-8.182,-4.612,29
3,CHP04,-8.218,-5.951,26.7
4,CHP04,-8.058,-7.264,24.2
4,CHP04,-7.974,-6.972,24.2
5,CHP04,-7.919,-8.306,21.7
6,CHP04,-8.02,-8.778,19
7,CHP04,-8.18,-8.783,16.7
8,CHP04,-8.592,-7.44,14.4
8,CHP04,-8.548,-7.336,14.4
9,CHP04,-9.004,-5.465,12.2
10,CHP04,-9.38,-2.443,10.3
11,CHP04,-9.541,-0.367,8.1
12,CHP04,-9.576,0.882,6.2
1,CHP05,-9.614,-7.157,21.4
2,CHP05,-10.129,-5.13,18.5
3,CHP05,-10.393,-3.205,15.8
4,CHP05,-10.344,-2.325,12.7
4,CHP05,-10.205,-2.318,12.7
5,CHP05,-9.564,-3.447,9.8
6,CHP05,-9.063,-6.307,6.9
7,CHP05,-8.84,-9.955,4
1,CHP06,-7.574,-5.55,37.1
2,CHP06,-7.672,-7.612,34.4
3,CHP06,-8,-8.63,32
4,CHP06,-8.11,-9.669,29.7
5,CHP06,-8.44,-9.948,27.2
5,CHP06,-8.341,-9.52,27.2
6,CHP06,-8.831,-9.318,24.9
7,CHP06,-8.96,-7.337,22.5
8,CHP06,-9.45,-6.16,20.1
9,CHP06,-9.513,-4.632,17.7
9,CHP06,-9.562,-4.629,17.7
10,CHP06,-9.426,-2.847,15.6
11,CHP06,-9.521,-1.849,13.5
12,CHP06,-9.543,-1.771,11.4
13,CHP06,-9.236,-2.655,9.3
1,CHP07,-10.469,-0.251,23.9
1,CHP07,-10.357,-0.103,23.9
2,CHP07,-9.601,-0.314,21.5
3,CHP07,-9.257,-1.8,19.2
4,CHP07,-8.865,-2.539,16.4
5,CHP07,-8.65,-4.268,14.2
6,CHP07,-8.363,-6.098,11.7
7,CHP07,-8.415,-7.748,9.6
8,CHP07,-8.627,-9.008,6.7
9,CHP07,-9.1,-8.161,4.2
1,CHP08,-8.81,-8.433,31.7
2,CHP08,-8.606,-8.942,29.2
3,CHP08,-8.658,-8.704,26.7
3,CHP08,-8.773,-8.953,26.7
4,CHP08,-8.662,-7.7,24
5,CHP08,-8.904,-6.69,21.5
6,CHP08,-9.244,-5.124,19.1
7,CHP08,-9.683,-3.252,16.5
8,CHP08,-10.217,-1.711,14.1
9,CHP08,-10.503,-1.113,12.1
10,CHP08,-10.533,-0.834,10.1
1,CHP09,-9.516,-7.259,22.2
2,CHP09,-9.533,-8.387,19.7
3,CHP09,-9.445,-8.613,17
4,CHP09,-9.6,-7.037,14.5
5,CHP09,-9.706,-4.869,12.2
6,CHP09,-9.727,-2.957,10.1
6,CHP09,-9.551,-2.474,10.1
7,CHP09,-9.799,-0.283,7.9
8,CHP09,-9.748,-0.269,6.1
9,CHP09,-9.223,-2.487,4.2
10,CHP09,-8.377,-4.958,2
1,CHP10,-8.976,-8.646,17.9
2,CHP10,-9.13,-6.763,15.4
3,CHP10,-9.304,-4.523,13
4,CHP10,-9.424,-2.461,10.2
4,CHP10,-9.308,-2.222,10.2
5,CHP10,-9.351,-0.26,7.8
6,CHP10,-9.604,-1.128,5.4
7,CHP10,-9.432,-3.598,2.7
1,IBX01,-11.827,-4.653,30.8
2,IBX01,-11.862,-3.932,27.9
3,IBX01,-11.154,-5.153,25.1
4,IBX01,-10.711,-6.991,22.1
5,IBX01,-10.236,-10.038,19.3
6,IBX01,-9.985,-12.575,16.7
7,IBX01,-10,-10.99,14.3
8,IBX01,-10.594,-8.157,11.5
9,IBX01,-11.2,-4.107,8.7
9,IBX01,-11.203,-4.191,8.7
10,IBX01,-10.908,-5.434,6
1,IBX02,-10.034,-10.718,39.5
2,IBX02,-10.419,-8.543,37
3,IBX02,-10.809,-6.303,34
4,IBX02,-11.126,-3.781,31.3
5,IBX02,-11.311,-2.593,28.1
5,IBX02,-11.316,-2.59,28.1
6,IBX02,-10.949,-3.85,25.2
7,IBX02,-10.795,-5.25,22.5
8,IBX02,-10.305,-7.62,20
9,IBX02,-10.146,-9.943,17
10,IBX02,-10.302,-10.322,14.3
10,IBX02,-10.41,-10.385,14.3
11,IBX02,-10.564,-8.334,11.8
12,IBX02,-11.246,-4.668,8.5
1,IBX03,-11.671,-7.99,39.4
2,IBX03,-11.505,-10.138,36.8
3,IBX03,-11.042,-12.103,33.8
3,IBX03,-11.174,-12.147,33.8
4,IBX03,-11.117,-9.867,31.1
5,IBX03,-11.493,-5.471,28.5
6,IBX03,-11.756,-3.622,25.6
7,IBX03,-11.502,-5.323,22.9
8,IBX03,-10.986,-9.054,20.2
9,IBX03,-10.41,-10.041,17.7
10,IBX03,-11.148,-5.474,14.9
11,IBX03,-11.28,-6.232,12.3
12,IBX03,-10.007,-9.911,9.7
12,IBX03,-10.06,-9.984,9.7
1,IBX04,-11.552,-11.049,28.3
2,IBX04,-11.132,-12.187,25.3
3,IBX04,-11.381,-10.145,22.4
4,IBX04,-12.036,-5.983,19.4
5,IBX04,-12.174,-4.71,16.9
6,IBX04,-11.633,-8.112,14.4
7,IBX04,-11.257,-11.122,11.9
8,IBX04,-11.075,-7.378,9.4
8,IBX04,-10.994,-7.267,9.4
9,IBX04,-11.309,-4.831,6.9
1,T132,-3.6,-8.67,37.75
2,T132,-3.38,-9.9,34.75
3,T132,-3.22,-11.23,31.75
4,T132,-3.63,-12.52,28.43
5,T132,-4.74,-12.47,25.34
6,T132,-6,-10.64,21.83
7,T132,-7.53,-7.9,18.73
8,T132,-8.87,-5.05,15.57
9,T132,-8.73,-3.77,12.16
10,T132,-7.65,-5.08,8.75
11,T132,-6.6,-7.67,5.74
1,T115,-8.08,-7.96,29.41
2,T115,-8.18,-5.6,26.65
3,T115,-8.12,-4.63,23.59
4,T115,-7.65,-4.81,20.7
5,T115,-6.7,-4.12,17.96
6,T115,-5.93,-5.15,14.79
7,T115,-5.55,-6.49,12.03
8,T115,-5.34,-7.2,9.19
1,T114,-10.14,-9.03,36.06
2,T114,-10.37,-8.6,34.43
3,T114,-10.47,-7.84,32.69
4,T114,-10.74,-6.52,31.04
5,T114,-10.87,-5.13,29.09
6,T114,-10.94,-4.2,27.41
7,T114,-10.98,-2.84,25.19
8,T114,-10.91,-2.15,23.3
9,T114,-10.82,-2.03,20.79
10,T114,-10.52,-2.39,18
11,T114,-10.29,-3.8,15.37
12,T114,-9.9,-5.63,12.15
13,T114,-9.43,-8.13,9.05
14,T114,-9.14,-11.13,5.74
1,T113,-8.69,-4.6,36.76
2,T113,-8.65,-6.7,33.64
3,T113,-8.98,-8.75,30.48
4,T113,-9.1,-9.94,27.23
5,T113,-9.35,-10.59,23.39
6,T113,-9.64,-10.87,21.07
7,T113,-10.21,-10.22,18.49
8,T113,-10.49,-8.71,15.52
9,T113,-10.85,-7.11,12.8
10,T113,-11.06,-4.99,9.45
1,T032,-7.063,-6.568,40.02
2,T032,-6.645,-7.846,37.26
