increment,specimen,d13C,d18O,measure
1,CHP06,-7.574,-5.55,37.1
2,CHP06,-7.672000000000001,-7.612,34.4
3,CHP06,-8,-8.63,32
4,CHP06,-8.11,-9.669,29.7
5,CHP06,-8.44,-9.948,27.2
5,CHP06,-8.341000000000001,-9.52,27.2
6,CHP06,-8.831,-9.318,24.9
7,CHP06,-8.959999999999999,-7.337,22.5
8,CHP06,-9.45,-6.159999999999999,20.1
9,CHP06,-9.513,-4.632,17.7
9,CHP06,-9.562000000000001,-4.629,17.7
10,CHP06,-9.426,-2.847,15.6
11,CHP06,-9.521,-1.849,13.5
12,CHP06,-9.543000000000001,-1.771,11.4
13,CHP06,-9.236,-2.655,9.3
