increment,specimen,d13C,d18O,measure
1,IBX03,-11.671000000000001,-7.99,39.4
2,IBX03,-11.505,-10.138,36.8
3,IBX03,-11.042000000000002,-12.103,33.8
3,IBX03,-11.174,-12.147,33.8
4,IBX03,-11.117,-9.867,31.1
5,IBX03,-11.493,-5.471,28.5
6,IBX03,-11.756,-3.6220000000000003,25.6
7,IBX03,-11.502,-5.323,22.9
8,IBX03,-10.986,-9.054,20.2
9,IBX03,-10.41,-10.041,17.7
10,IBX03,-11.148,-5.473999999999999,14.9
11,IBX03,-11.280000000000001,-6.231999999999999,12.3
12,IBX03,-10.007,-9.911,9.7
12,IBX03,-10.06,-9.984,9.7
13,IBX03,-11.283,-6.353,7.1
