specimen,site,Pearson_r,conf.low,conf.high,test_stat,df,p.value,significant
5571,Kent,0.3107,-0.5044,0.833,0.8007,6,0.4538,fail
5572,Kent,-0.8403,-0.9656,-0.3986,-4.1009,7,0.0046,pass
5573,Kent,-0.9718,-0.9951,-0.8476,-10.0998,6,1e-04,pass
5574,Kent,-0.9856,-0.998,-0.902,-13.0279,5,0,pass
5575,Kent,-0.9143,-0.9846,-0.5894,-5.5302,6,0.0015,pass
5576,Kent,-0.8907,-0.988,-0.2854,-3.9182,4,0.0173,pass
5577,Kent,-0.9544,-0.9934,-0.7156,-7.1457,5,8e-04,pass
5578,Kent,-0.2154,-0.7441,0.4792,-0.6238,8,0.5501,fail
5579,Kent,-0.8706,-0.9725,-0.4896,-4.6823,7,0.0023,pass
5580,Kent,-0.9072,-0.9899,-0.3628,-4.314,4,0.0125,pass
5582,Turgen,-0.9956,-0.9999,-0.7992,-14.9937,2,0.0044,pass
5583,Turgen,-0.8559,-0.9969,0.5929,-2.3407,2,0.1441,fail
5584,Turgen,-0.8505,-0.9775,-0.2709,-3.6153,5,0.0153,pass
5586,Turgen,-0.8313,-0.981,-0.0607,-2.9913,4,0.0403,pass
5587,Turgen,-0.7727,-0.9495,-0.223,-3.2204,7,0.0146,pass
5588,Turgen,-0.9354,-0.9906,-0.6168,-5.9148,5,0.002,pass
5589,Turgen,-0.337,-0.9019,0.6532,-0.7159,4,0.5136,fail
CHP01,Chap,-0.5701,-0.8718,0.0453,-2.0817,9,0.0671,fail
CHP02,Chap,-0.8604,-0.9632,-0.5386,-5.0661,9,7e-04,pass
CHP03,Chap,-0.91,-0.9838,-0.5722,-5.375,6,0.0017,pass
CHP04,Chap,-0.8814,-0.9664,-0.6223,-5.9007,10,2e-04,pass
CHP05,Chap,-0.8086,-0.9706,-0.1419,-3.0728,5,0.0277,pass
CHP06,Chap,-0.6535,-0.8856,-0.1602,-2.8636,11,0.0154,pass
CHP07,Chap,-0.7315,-0.9393,-0.1311,-2.8388,7,0.0251,pass
CHP08,Chap,-0.9816,-0.9958,-0.9217,-14.5564,8,0,pass
CHP09,Chap,-0.1842,-0.7292,0.5039,-0.53,8,0.6105,fail
CHP10,Chap,-0.8642,-0.9797,-0.3183,-3.8409,5,0.0121,pass
IBX01,Jeti-Oguz,-0.9241,-0.9822,-0.7042,-6.8388,8,1e-04,pass
IBX02,Jeti-Oguz,-0.9416,-0.9838,-0.8,-8.8423,10,0,pass
IBX03,Jeti-Oguz,-0.5439,-0.8519,0.0436,-2.0499,10,0.0675,fail
IBX04,Jeti-Oguz,-0.533,-0.8841,0.203,-1.6665,7,0.1396,fail
T020,Bayan-Zherek,-0.9814,-0.9926,-0.9538,-22.2756,19,0,pass
T032,Begash,-0.7005,-0.903,-0.2435,-3.2558,11,0.0077,pass
T033,Dali,-0.2942,-0.6236,0.1239,-1.444,22,0.1628,fail
T085,Dali,-0.8633,-0.9749,-0.4049,-4.1894,6,0.0058,pass
T113,Begash,-0.0767,-0.6738,0.581,-0.2177,8,0.8331,fail
T114,Begash,-0.7309,-0.909,-0.3272,-3.71,12,0.003,pass
T115,Begash,-0.1754,-0.7832,0.6039,-0.4363,6,0.6779,fail
T132,Begash,-0.8337,-0.9557,-0.4679,-4.5299,9,0.0014,pass
T147,Begash,-0.403,-0.7403,0.0963,-1.7054,15,0.1087,fail
