increment,specimen,d13C,d18O,measure,julian,site,element,symmetry,individual,taxon,period,comparative,birth_simple_fit,birth_season_simple_fit
1,5571,-10.18,-11.7,24.49,104.88,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
2,5571,-10.16,-10.05,23.11,117.24,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
3,5571,-10.16,-9.15,20.72,138.64,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
4,5571,-10.15,-7.46,19.32,151.18,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
6,5571,-8.89,-7.13,10.53,229.9,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
7,5571,-8.76,-8.14,8.08,251.84,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
8,5571,-9.07,-9.45,6.86,262.76,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
9,5571,-9,-10.67,4.68,282.29,Kent,M/2,left,1,sheep,Late Bronze Age,TRUE,0.35,spring
2,5572,-8.93,-14.87,30.69,14.94,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
4,5572,-8.95,-13.78,26.13,60.35,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
6,5572,-9.19,-11.14,22.71,94.41,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
8,5572,-9.54,-7.17,18.88,132.55,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
10,5572,-10.06,-5.12,15.29,168.3,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
12,5572,-10.28,-4.94,11.53,205.74,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
14,5572,-9.57,-6.52,7.84,242.49,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
16,5572,-9.2,-9.14,4.33,277.44,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
18,5572,-8.51,-10.9,1.27,307.91,Kent,M/2,left,2,sheep,Late Bronze Age,TRUE,0.34,spring
2,5573,-7.66,-12.51,23.15,24.39,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
4,5573,-7.93,-11,19.38,64.9,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
6,5573,-8.45,-8.72,16.35,97.46,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
8,5573,-8.77,-6.99,13.31,130.12,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
10,5573,-9.18,-4.54,10.27,162.79,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
12,5573,-9.24,-3.56,7.42,193.41,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
14,5573,-9.49,-4.9,4.61,223.61,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
16,5573,-9.12,-6.05,1.24,259.82,Kent,M/2,left,3,sheep,Late Bronze Age,TRUE,0.21,spring
1,5574,-9.28,-12.72,28.42,41.12,Kent,M/2,left,4,sheep,Late Bronze Age,TRUE,0.44,summer
2,5574,-9.36,-11.81,26.5,62.47,Kent,M/2,left,4,sheep,Late Bronze Age,TRUE,0.44,summer
4,5574,-9.73,-9.86,24.17,88.38,Kent,M/2,left,4,sheep,Late Bronze Age,TRUE,0.44,summer
6,5574,-10.25,-8.11,20.41,130.18,Kent,M/2,left,4,sheep,Late Bronze Age,TRUE,0.44,summer
8,5574,-10.46,-5.67,17,168.1,Kent,M/2,left,4,sheep,Late Bronze Age,TRUE,0.44,summer
10,5574,-10.69,-4.87,14.02,201.23,Kent,M/2,left,4,sheep,Late Bronze Age,TRUE,0.44,summer
12,5574,-10.61,-6.24,10.97,235.15,Kent,M/2,left,4,sheep,Late Bronze Age,TRUE,0.44,summer
1,5575,-7.85,-12.9,32.43,360.22,Kent,M/2,left,5,sheep,Late Bronze Age,TRUE,0.45,summer
3,5575,-7.89,-12,28.13,43.79,Kent,M/2,left,5,sheep,Late Bronze Age,TRUE,0.45,summer
5,5575,-8.14,-11.05,25.05,78.59,Kent,M/2,left,5,sheep,Late Bronze Age,TRUE,0.45,summer
7,5575,-8.78,-8.45,20.47,130.33,Kent,M/2,left,5,sheep,Late Bronze Age,TRUE,0.45,summer
9,5575,-9.13,-5.54,16.34,176.98,Kent,M/2,left,5,sheep,Late Bronze Age,TRUE,0.45,summer
11,5575,-8.65,-6.09,11.99,226.13,Kent,M/2,left,5,sheep,Late Bronze Age,TRUE,0.45,summer
13,5575,-8.34,-8.38,8.21,268.83,Kent,M/2,left,5,sheep,Late Bronze Age,TRUE,0.45,summer
